GLPSOL: GLPK LP/MIP Solver, v4.65
Parameter(s) specified in the command line:
 --log result\single-year-20221017T1602\scenario_base.log --write C:\Users\MOUADH~1\AppData\Local\Temp\tmpz8yhaaej.glpk.raw
 --wglp C:\Users\MOUADH~1\AppData\Local\Temp\tmpoe0hsaig.glpk.glp --cpxlp
 C:\Users\MOUADH~1\AppData\Local\Temp\tmpc4re0y9j.pyomo.lp
Reading problem data from 'C:\Users\MOUADH~1\AppData\Local\Temp\tmpc4re0y9j.pyomo.lp'...
200985 rows, 225794 columns, 765714 non-zeros
1594477 lines were read
Writing problem data to 'C:\Users\MOUADH~1\AppData\Local\Temp\tmpoe0hsaig.glpk.glp'...
1296994 lines were written
GLPK Simplex Optimizer, v4.65
200985 rows, 225794 columns, 765714 non-zeros
Preprocessing...
153079 rows, 185053 columns, 631866 non-zeros
Scaling...
 A: min|aij| =  1.229e-04  max|aij| =  1.217e+01  ratio =  9.899e+04
GM: min|aij| =  2.204e-01  max|aij| =  4.538e+00  ratio =  2.059e+01
EQ: min|aij| =  4.857e-02  max|aij| =  1.000e+00  ratio =  2.059e+01
Constructing initial basis...
Size of triangular part is 153076
      0: obj =   7.449251125e+11 inf =   2.415e+06 (423)
Perturbing LP to avoid stalling [199]...
    666: obj =   7.566283019e+11 inf =   1.102e+06 (101) 4
    734: obj =   7.593164629e+11 inf =   9.292e-10 (0)
Warning: basis matrix is ill-conditioned (cond = 4.48e+13)
*  1304: obj =   5.560073930e+11 inf =   5.006e-09 (34233) 6
*  1929: obj =   5.408669214e+11 inf =   1.051e-08 (35405) 5
*  2363: obj =   5.332462337e+11 inf =   1.101e-08 (35503) 4
*  2884: obj =   5.248649878e+11 inf =   1.701e-08 (36199) 4
*  3384: obj =   5.170491353e+11 inf =   4.551e-08 (35685) 4
*  3848: obj =   5.114677347e+11 inf =   4.151e-08 (36190) 3
*  4355: obj =   5.053163420e+11 inf =   3.751e-08 (36411) 4
*  4917: obj =   4.975133649e+11 inf =   6.526e-08 (36627) 4
*  5403: obj =   4.906205892e+11 inf =   6.976e-08 (36880) 4
*  5883: obj =   4.847481374e+11 inf =   1.168e-07 (37716) 4
*  6412: obj =   4.752795334e+11 inf =   1.435e-07 (37027) 4
*  6900: obj =   4.655716072e+11 inf =   1.405e-07 (37331) 4
*  7408: obj =   4.535207551e+11 inf =   1.716e-07 (37346) 4
*  7966: obj =   4.389145370e+11 inf =   2.831e-06 (38124) 4
*  8428: obj =   4.232675849e+11 inf =   2.911e-06 (39656) 4
*  8951: obj =   4.028613563e+11 inf =   2.942e-06 (38992) 4
*  9465: obj =   3.689197917e+11 inf =   3.020e-06 (39710) 4
*  9941: obj =   3.354854793e+11 inf =   4.889e-07 (39040) 4
* 10389: obj =   3.215986012e+11 inf =   6.150e-07 (36498) 4
* 10865: obj =   3.146762805e+11 inf =   6.486e-07 (37897) 3
* 11134: obj =   3.116375733e+11 inf =   6.943e-07 (39234) 2
* 11519: obj =   3.061458144e+11 inf =   7.810e-07 (40205) 3
* 11985: obj =   3.013657887e+11 inf =   8.424e-07 (41175) 4
* 12429: obj =   2.998381829e+11 inf =   8.461e-07 (39836) 4
* 12929: obj =   2.975443322e+11 inf =   8.825e-07 (39352) 4
* 13394: obj =   2.963671340e+11 inf =   8.919e-07 (40689) 4
* 13834: obj =   2.949954096e+11 inf =   8.884e-07 (40888) 4
* 14308: obj =   2.908994906e+11 inf =   8.011e-07 (41177) 4
* 14692: obj =   2.891178415e+11 inf =   1.156e-06 (37801) 3
* 15139: obj =   2.844086368e+11 inf =   1.126e-06 (37840) 3
* 15621: obj =   2.824705126e+11 inf =   1.215e-06 (36392) 4
* 16053: obj =   2.797602321e+11 inf =   1.270e-06 (37799) 3
* 16432: obj =   2.768145133e+11 inf =   1.637e-06 (37371) 2
* 16848: obj =   2.744233221e+11 inf =   1.454e-06 (34730) 4
* 17249: obj =   2.730397677e+11 inf =   1.549e-06 (36439) 3
* 17640: obj =   2.723718888e+11 inf =   1.509e-06 (37074) 4
* 18050: obj =   2.708154228e+11 inf =   1.560e-06 (37139) 4
* 18493: obj =   2.665106549e+11 inf =   1.504e-06 (34944) 3
* 18944: obj =   2.627530524e+11 inf =   3.760e-06 (35085) 4
* 19420: obj =   2.554068796e+11 inf =   3.617e-06 (37450) 4
* 19834: obj =   2.493409021e+11 inf =   3.726e-06 (35298) 3
* 20293: obj =   2.419547076e+11 inf =   3.767e-06 (36233) 3
* 20750: obj =   2.362050023e+11 inf =   3.712e-06 (34079) 3
* 21161: obj =   2.302289808e+11 inf =   3.967e-06 (36441) 3
* 21581: obj =   2.225082276e+11 inf =   4.336e-06 (39605) 3
* 22012: obj =   2.179432223e+11 inf =   4.423e-06 (37468) 4
* 22405: obj =   2.091735340e+11 inf =   4.310e-06 (36099) 3
* 22825: obj =   2.038363097e+11 inf =   7.606e-06 (36585) 3
* 23207: obj =   1.988358287e+11 inf =   7.305e-06 (36460) 4
* 23602: obj =   1.931153295e+11 inf =   7.451e-06 (36845) 3
* 24038: obj =   1.871882831e+11 inf =   7.484e-06 (35272) 3
* 24449: obj =   1.801205774e+11 inf =   6.021e-06 (36276) 3
* 24785: obj =   1.768526044e+11 inf =   5.851e-06 (38190) 2
* 25115: obj =   1.734564881e+11 inf =   8.430e-06 (37139) 3
* 25467: obj =   1.698886812e+11 inf =   8.060e-06 (35538) 2
* 25844: obj =   1.667480451e+11 inf =   8.268e-06 (35834) 3
* 26272: obj =   1.633830529e+11 inf =   7.847e-06 (34839) 4
* 26665: obj =   1.598186334e+11 inf =   8.465e-06 (35329) 2
* 27046: obj =   1.569905161e+11 inf =   8.680e-06 (35963) 3
* 27467: obj =   1.534171478e+11 inf =   8.825e-06 (37660) 4
* 27863: obj =   1.510068748e+11 inf =   1.092e-05 (37038) 3
* 28198: obj =   1.479175451e+11 inf =   1.120e-05 (37253) 2
* 28570: obj =   1.442080418e+11 inf =   1.053e-05 (36606) 3
* 28987: obj =   1.403713715e+11 inf =   1.006e-05 (36496) 3
* 29386: obj =   1.376835000e+11 inf =   1.016e-05 (36530) 3
* 29844: obj =   1.351366018e+11 inf =   7.530e-06 (34947) 3
* 30244: obj =   1.332724074e+11 inf =   8.149e-06 (34911) 4
* 30640: obj =   1.310761455e+11 inf =   8.394e-06 (37065) 3
* 31044: obj =   1.295753462e+11 inf =   1.023e-05 (37217) 2
* 31392: obj =   1.284579109e+11 inf =   1.025e-05 (38666) 3
* 31773: obj =   1.269515307e+11 inf =   1.038e-05 (35276) 3
* 32175: obj =   1.259544119e+11 inf =   1.076e-05 (34920) 3
* 32566: obj =   1.247744012e+11 inf =   1.076e-05 (36903) 3
